enrollment,interval,start,end,model
656,Monthly,8/1/2020,8/31/2020,Virtual
639,Monthly,8/1/2020,8/31/2020,Virtual
62,Monthly,8/1/2020,8/31/2020,Virtual
58,Monthly,8/1/2020,8/31/2020,Virtual
813,Monthly,8/1/2020,8/31/2020,Virtual
67,Monthly,8/1/2020,8/31/2020,Virtual
167,Monthly,8/1/2020,8/31/2020,Virtual
517,Monthly,8/1/2020,8/31/2020,Virtual
475,Monthly,8/1/2020,8/31/2020,Virtual
457,Monthly,8/1/2020,8/31/2020,Virtual
218,Monthly,8/1/2020,8/31/2020,Virtual
429,Monthly,8/1/2020,8/31/2020,Virtual
602,Monthly,8/1/2020,8/31/2020,Virtual
497,Monthly,8/1/2020,8/31/2020,Virtual
991,Monthly,8/1/2020,8/31/2020,Virtual
422,Monthly,8/1/2020,8/31/2020,Virtual
613,Monthly,8/1/2020,8/31/2020,Virtual
467,Monthly,8/1/2020,8/31/2020,Virtual
384,Monthly,8/1/2020,8/31/2020,Virtual
601,Monthly,8/1/2020,8/31/2020,Virtual
575,Monthly,8/1/2020,8/31/2020,Virtual
968,Monthly,8/1/2020,8/31/2020,Virtual
471,Monthly,8/1/2020,8/31/2020,Virtual
990,Monthly,8/1/2020,8/31/2020,Virtual
592,Monthly,8/1/2020,8/31/2020,Virtual
486,Monthly,8/1/2020,8/31/2020,Virtual
507,Monthly,8/1/2020,8/31/2020,Virtual
433,Monthly,8/1/2020,8/31/2020,Virtual
444,Monthly,8/1/2020,8/31/2020,Virtual
235,Monthly,8/1/2020,8/31/2020,Virtual
408,Monthly,8/1/2020,8/31/2020,Virtual
105,Monthly,8/1/2020,8/31/2020,Virtual
306,Monthly,8/1/2020,8/31/2020,Virtual
105,Monthly,8/1/2020,8/31/2020,Virtual
227,Monthly,8/1/2020,8/31/2020,Virtual
515,Monthly,8/1/2020,8/31/2020,Virtual
360,Monthly,8/1/2020,8/31/2020,Virtual
521,Monthly,8/1/2020,8/31/2020,Virtual
378,Monthly,8/1/2020,8/31/2020,Virtual
18,Monthly,8/1/2020,8/31/2020,Virtual
55,Monthly,8/1/2020,8/31/2020,Virtual
474,Monthly,8/1/2020,8/31/2020,Hybrid
391,Monthly,8/1/2020,8/31/2020,Hybrid
150,Monthly,8/1/2020,8/31/2020,Hybrid
355,Monthly,8/1/2020,8/31/2020,Hybrid
82,Monthly,8/1/2020,8/31/2020,Virtual
465,Monthly,8/1/2020,8/31/2020,Virtual
641,Monthly,8/1/2020,8/31/2020,Virtual
608,Monthly,8/1/2020,8/31/2020,Virtual
